,Total Votes (Biden),Average % (Biden),Total Electoral Votes (Biden),Total Votes (Trump),Average % (Trump),Total Electoral Votes (Trump),Total Votes (Kamala),Average % (Kamala),Total Electoral Votes (Kamala)
2020 Election,81268773.0,47.70307692307692,345.0,74216728.0,48.26846153846154,183.0,0.0,0.0,0.0
2024 Election,0.0,0.0,0.0,76943544.0,50.61960784313726,253.0,73857695.0,43.50196078431373,266.0
