STATE_2020,Biden Votes,Biden %,Biden EV,Trump Votes_2020,Trump %_2020,Trump EV_2020,State_Code,STATE_2024,Kamala Votes,Kamala %,Kamala EV,Trump Votes_2024,Trump %_2024,Trump EV_2024,Kamala-Biden % Change,Trump % Change,Kamala-Biden Vote Change,Trump Vote Change
New Mexico,501614.0,54.29,5.0,401894.0,43.5,0.0,NM,New Mexico,478728.0,51.9,5.0,423328.0,45.8,0.0,-2.3900000000000006,2.299999999999997,-22886.0,21434.0
New York,5230985.0,60.86,29.0,3244798.0,37.75,0.0,NY,New York,4396096.0,55.6,28.0,3471197.0,43.9,0.0,-5.259999999999998,6.149999999999999,-834889.0,226399.0
North Carolina,2684292.0,48.59,0.0,2758775.0,49.93,15.0,NC,North Carolina,2715382.0,47.6,0.0,2898429.0,50.9,17.0,-0.990000000000002,0.9699999999999989,31090.0,139654.0
North Dakota,114902.0,31.76,0.0,235595.0,65.11,3.0,ND,North Dakota,112327.0,30.5,0.0,246505.0,67.0,7.0,-1.2600000000000016,1.8900000000000006,-2575.0,10910.0
Ohio,2679165.0,45.24,0.0,3154834.0,53.27,18.0,OH,Ohio,2531253.0,43.9,0.0,3175344.0,55.0,0.0,-1.3400000000000034,1.7299999999999969,-147912.0,20510.0
Oklahoma,503890.0,32.29,0.0,1020280.0,65.37,7.0,OK,Oklahoma,499599.0,31.9,0.0,1036213.0,66.2,19.0,-0.39000000000000057,0.8299999999999983,-4291.0,15933.0
Oregon,1340383.0,56.45,7.0,958448.0,40.37,0.0,OR,Oregon,1227503.0,55.3,8.0,910081.0,41.0,0.0,-1.1500000000000057,0.6300000000000026,-112880.0,-48367.0
Pennsylvania,3458229.0,50.01,20.0,3377674.0,48.84,0.0,PA,Pennsylvania,3421940.0,48.6,0.0,3542905.0,50.4,9.0,-1.4099999999999966,1.5599999999999952,-36289.0,165231.0
Rhode Island,307486.0,59.39,4.0,199922.0,38.61,0.0,RI,Rhode Island,283750.0,55.4,4.0,214291.0,41.9,3.0,-3.990000000000002,3.289999999999999,-23736.0,14369.0
South Carolina,1091541.0,43.43,0.0,1385103.0,55.11,9.0,SC,South Carolina,1028452.0,40.4,0.0,1483747.0,58.2,11.0,-3.030000000000001,3.0900000000000034,-63089.0,98644.0
South Dakota,150471.0,35.61,0.0,261043.0,61.77,3.0,SD,South Dakota,146859.0,34.2,0.0,272081.0,63.4,0.0,-1.4099999999999966,1.6299999999999955,-3612.0,11038.0
Tennessee,1143711.0,37.45,0.0,1852475.0,60.66,11.0,TN,Tennessee,1055039.0,34.4,0.0,1964499.0,64.1,6.0,-3.0500000000000043,3.4399999999999977,-88672.0,112024.0
Texas,5259126.0,46.48,0.0,5890347.0,52.06,0.0,TX,Texas,4806441.0,42.4,40.0,6375318.0,56.2,0.0,-4.079999999999998,4.140000000000001,-452685.0,484971.0
Utah,560282.0,37.65,38.0,865140.0,58.13,6.0,UT,Utah,562566.0,37.8,0.0,883818.0,59.4,0.0,0.14999999999999858,1.269999999999996,2284.0,18678.0
Vermont,242820.0,66.09,0.0,112704.0,30.67,0.0,VT,Vermont,235791.0,63.8,3.0,119395.0,32.3,0.0,-2.2900000000000063,1.6299999999999955,-7029.0,6691.0
Virginia,2413568.0,54.11,3.0,1962430.0,44.0,0.0,VA,Virginia,2335391.0,51.8,13.0,2075093.0,46.1,0.0,-2.3100000000000023,2.1000000000000014,-78177.0,112663.0
Washington,2369612.0,57.97,13.0,1584651.0,38.77,0.0,WA,Washington,2241552.0,57.6,12.0,1526507.0,39.2,4.0,-0.36999999999999744,0.4299999999999997,-128060.0,-58144.0
West Virginia,235984.0,29.7,12.0,545382.0,68.63,0.0,WV,West Virginia,214309.0,28.1,0.0,533556.0,70.0,10.0,-1.5999999999999979,1.3700000000000045,-21675.0,-11826.0
Wisconsin,1630866.0,49.45,0.0,1610184.0,48.82,0.0,WI,Wisconsin,1668229.0,48.8,0.0,1697626.0,49.6,3.0,-0.6500000000000057,0.7800000000000011,37363.0,87442.0
Wyoming,73491.0,26.55,10.0,193559.0,69.94,3.0,WY,Wyoming,69527.0,25.8,0.0,192633.0,71.6,0.0,-0.75,1.6599999999999966,-3964.0,-926.0
